All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,Facebook,Instagram,LinkedIn,LinkedIn,Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),YouTube,YouTube,YouTube,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,Community,Community,Pinterest,Pinterest
postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,OGmetaUrl (url),imageUrls (comma-separated),gifUrl,videoUrls (comma-separated),thumbnailUrl,mediaOptimization (true/false),applyWatermark (true/false),tags (comma-separated),category,followUpComment,type (post/story/reel),type (post/story/reel),pdfTitle,postAsPdf (true/false),eventType (call_to_action/event/offer),actionType (none/order/book/shop/learn_more/call/sign_up),title,offerTitle,startDate (YYYY-MM-DD HH:mm:ss),endDate (YYYY-MM-DD HH:mm:ss),termsConditions,couponCode,redeemOnlineUrl,actionUrl,title,privacyLevel (private/public/unlisted),type (video/short),privacyLevel (everyone/friends/only_me),promoteOtherBrand (true/false),enableComment (true/false),enableDuet (true/false),enableStitch (true/false),videoDisclosure (true/false),promoteYourBrand (true/false),title,notifyAllGroupMembers (true/false),title,link
2026-09-19 15:00:00,"Juntar primeiro e comprar depois é o conselho financeiro mais repetido que existe. Ele tem a vantagem de parecer responsável e a desvantagem de ignorar o tempo.

Porque dinheiro parado não espera quieto. Ele encolhe.

Enquanto a poupança sobe devagar, o imóvel sobe no ritmo do mercado. No fim de alguns anos, o valor que era quase suficiente virou metade do necessário.

Guardamos com disciplina, e mesmo assim chegamos mais longe do objetivo.

Poder de compra é o nome disso: não quanto dinheiro você tem, mas quanto ele ainda compra. São coisas diferentes, e só uma delas aparece no extrato.

A outra só aparece no dia em que você vai negociar.

O consórcio inverte a ordem da frase. Em vez de juntar para depois comprar, você fixa hoje o valor do bem e paga ao longo do caminho.

Não é mágica: é só parar de correr atrás de um alvo que se move.

Se você passou anos guardando e sente que não saiu do lugar, o problema não foi falta de disciplina.

Foi o conselho, que nunca contou que guardar também tem custo.

Gostou? Fez sentido?

Então imagina a chave na sua mão, sem um centavo de juro no caminho. O que trava a maioria não é falta de dinheiro. É não saber como funciona.

Se quiser entender, comente SONHO abaixo. Eu te mando o material que explica tudo, do começo ao fim, de graça.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #poderdecompra #inflacao",,"https://multicon.vercel.app/carrosseis/Da6VHtHIqKL/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/Da6VHtHIqKL/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/Da6VHtHIqKL/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/Da6VHtHIqKL/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/Da6VHtHIqKL/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/Da6VHtHIqKL/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/Da6VHtHIqKL/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/Da6VHtHIqKL/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,Guardar também tem custo,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20 15:00:00,"A gente costuma pensar em herança como algo que se entrega no fim. Um bem, um documento, uma assinatura em cartório.

Mas existe uma forma de herança que começa muito antes, e que custa pouco por mês.

Um consórcio pode ser feito a partir dos dezoito anos, com o nome limpo. E pode ser pensado por um pai ou uma mãe muito antes de o filho chegar lá.

Damos presentes que duram semanas, e adiamos o que duraria décadas.

Os economistas falam em horizonte de tempo: quanto mais longo ele for, menos esforço cada passo exige.

É a única vantagem financeira que não se compra com dinheiro. Só se ganha começando cedo.

Um jovem de dezoito anos com uma carta em andamento chega aos vinte e cinco com patrimônio em vez de dívida. Não porque ganhou mais, mas porque começou antes de precisar.

A diferença entre os dois caminhos não é o salário. É a data de início.

E se o seu filho já passou dos dezoito, ou se você mesmo já passou dos trinta, isso não fecha nenhuma porta.

O horizonte diminui, mas continua existindo — e ele só some para quem decide não olhar.

Gostou? Fez sentido?

Então imagina a chave na sua mão, sem um centavo de juro no caminho. O que trava a maioria não é falta de dinheiro. É não saber como funciona.

Se quiser entender, comente SONHO abaixo. Eu te mando o material que explica tudo, do começo ao fim, de graça.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #familia #heranca",,"https://multicon.vercel.app/carrosseis/Da7ogo9B5qk/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/Da7ogo9B5qk/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/Da7ogo9B5qk/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/Da7ogo9B5qk/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/Da7ogo9B5qk/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/Da7ogo9B5qk/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/Da7ogo9B5qk/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/Da7ogo9B5qk/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,A herança que cabe numa parcela,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-21 15:00:00,"Quem ouve falar em consórcio imagina uma fila longa e um sorteio distante. É meia verdade, e a metade que falta muda tudo.

Porque existem dois caminhos para ser contemplado, não um.

O primeiro é o sorteio: todos concorrem em igualdade, mês a mês, seguindo as regras do grupo. É o caminho de quem tem tempo.

O segundo é o lance, em que você antecipa parcelas e aumenta suas chances. É o caminho de quem tem pressa.

A palavra que os dois têm em comum é assembleia, a reunião mensal em que o grupo decide quem avança.

Não é um bingo: é um procedimento com regra publicada. Saber disso já muda a sensação de esperar no escuro.

Quem entende os dois caminhos deixa de depender da sorte e passa a escolher. Pode esperar tranquilo, pode acelerar quando aparecer um dinheiro extra.

A contemplação deixa de ser algo que acontece com você e vira algo que você decide.

Se ninguém tinha explicado isso, não foi distração sua.

É que quase toda propaganda de consórcio fala do sorteio e esquece de contar que existe a outra porta.

Gostou? Fez sentido?

Então imagina a chave na sua mão, sem um centavo de juro no caminho. O que trava a maioria não é falta de dinheiro. É não saber como funciona.

Se quiser entender, comente SONHO abaixo. Eu te mando o material que explica tudo, do começo ao fim, de graça.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #contemplacao #lance",,"https://multicon.vercel.app/carrosseis/DaBO61iBh-W/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/DaBO61iBh-W/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/DaBO61iBh-W/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/DaBO61iBh-W/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/DaBO61iBh-W/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/DaBO61iBh-W/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/DaBO61iBh-W/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/DaBO61iBh-W/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,Existem dois caminhos para chegar,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 15:00:00,"Para entrar num grupo de consórcio existe uma análise de crédito, e quem está com restrição no CPF costuma não ser aceito. É uma regra do sistema, não um julgamento sobre ninguém.

Mas ela é recebida como julgamento quase sempre.

A gente trata nome negativado como se fosse uma característica da pessoa, e não uma situação com data.

Chamamos de identidade aquilo que era só um período difícil.

No vocabulário do mercado existe um termo frio para isso: prazo de prescrição. Cinco anos, e o registro cai. Não por bondade, por lei.

O que significa que um não de hoje raramente é um não definitivo.

Organizar dívida não é castigo antes da recompensa. É a mesma coisa que o consórcio faria depois: colocar o que se deve dentro de um plano com começo e fim.

Quem faz isso chega no consórcio já sabendo a parte mais difícil.

Se o seu nome está negativado, você não está fora do jogo. Está num momento dele.

E momento, por definição, é a única coisa que não dura.

Gostou? Fez sentido?

Então imagina começar hoje.

Comente SONHO abaixo.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #organizarasdividas #recomeco",,"https://multicon.vercel.app/carrosseis/DaC4NlJpfqt/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/DaC4NlJpfqt/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/DaC4NlJpfqt/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/DaC4NlJpfqt/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/DaC4NlJpfqt/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/DaC4NlJpfqt/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/DaC4NlJpfqt/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/DaC4NlJpfqt/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,Um não que tem prazo,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-23 15:00:00,"Consórcio ficou conhecido como jeito de comprar casa ou carro. É verdade, mas é uma verdade estreita: cabe muito mais coisa ali dentro.

O que se contrata não é um bem. É um crédito.

Com uma carta contemplada dá para comprar imóvel, trocar de carro, reformar, abrir um negócio, quitar um financiamento caro, ou repartir tudo isso.

Pedimos uma ferramenta específica, e recebemos uma de propósito geral sem perceber.

Existe um nome para isso em finanças: liquidez com destino. Dinheiro que chega já comprometido com um objetivo, o que impede que ele evapore no caminho.

É menos liberdade do que uma conta corrente, e é exatamente por isso que costuma funcionar melhor.

A pergunta certa, então, não é se você quer um imóvel. É o que você faria com o valor disponível e organizado daqui a um ou dois anos.

A resposta a essa pergunta costuma ser mais interessante que a primeira.

Se você descartou consórcio porque não quer comprar casa agora, faz sentido: você foi informado assim.

Só que a ferramenta sempre foi mais larga do que a propaganda dela.

Gostou? Fez sentido?

Então imagina a chave na sua mão, sem um centavo de juro no caminho. O que trava a maioria não é falta de dinheiro. É não saber como funciona.

Se quiser entender, comente SONHO abaixo. Eu te mando o material que explica tudo, do começo ao fim, de graça.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #cartadecredito #investimento",,"https://multicon.vercel.app/carrosseis/DaDhcFjB_rD/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/DaDhcFjB_rD/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/DaDhcFjB_rD/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/DaDhcFjB_rD/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/DaDhcFjB_rD/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/DaDhcFjB_rD/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/DaDhcFjB_rD/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/DaDhcFjB_rD/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,"Uma carta, muitos destinos",TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24 15:00:00,"Quase toda conversa sobre consórcio começa pela parcela. Quanto cabe no mês, quanto aperta, quanto dá para esticar.

É a pergunta mais natural do mundo, e é a que menos ajuda.

Porque a parcela é consequência de três decisões anteriores: o valor da carta, o prazo do grupo e o tipo de bem. Errar qualquer uma delas custa caro.

Escolhemos com atenção o que é fácil de comparar, e no escuro o que realmente decide.

Existe um nome para esse desvio: viés da métrica visível. A gente otimiza aquilo que consegue medir de imediato e ignora o resto.

Funciona para escolher supermercado. Não funciona para um compromisso de dez anos.

Um consórcio de veículo não compra imóvel, e o inverso também não. Prazo curto aperta o mês; prazo longo alivia e estica a espera.

Nada disso aparece quando a conversa começa e termina no valor da parcela.

Se você já contratou olhando só o mês, não foi ingenuidade sua. Foi assim que te apresentaram.

E quase tudo isso ainda dá para ajustar antes da contemplação.

Gostou? Fez sentido?

Então imagina a chave na sua mão, sem um centavo de juro no caminho. O que trava a maioria não é falta de dinheiro. É não saber como funciona.

Se quiser entender, comente SONHO abaixo. Eu te mando o material que explica tudo, do começo ao fim, de graça.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #consultoria #planejamento",,"https://multicon.vercel.app/carrosseis/DaJbEFKhhQb/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/DaJbEFKhhQb/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/DaJbEFKhhQb/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/DaJbEFKhhQb/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/DaJbEFKhhQb/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/DaJbEFKhhQb/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/DaJbEFKhhQb/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/DaJbEFKhhQb/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,A parcela é a pior pergunta,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-25 15:00:00,"A explicação mais honesta de consórcio talvez seja esportiva. Um grupo de pessoas monta um time e cada uma contribui todo mês para fortalecer o conjunto.

Ninguém joga sozinho, e ninguém depende só do próprio esforço.

Com o valor reunido, um participante é contemplado por mês. É como sair na frente no placar, só que o jogo não termina ali.

Num campeonato normal alguém perde. Aqui, todos acabam marcando.

O nome técnico disso é autofinanciamento coletivo: o próprio grupo banca as contemplações, sem banco no meio cobrando pelo dinheiro emprestado.

É a diferença entre dividir um custo e alugar dinheiro de alguém.

A ordem em que cada um chega varia, por sorteio ou por lance. O que não varia é que a rodada continua até o último participante receber a sua vez.

Por isso desistir no meio costuma ser o único jeito de sair perdendo.

Se a ideia parecia complicada até agora, o problema nunca foi você.

É que raramente alguém se dá ao trabalho de explicar antes de vender.

Gostou? Fez sentido?

Então imagina a chave na sua mão, sem um centavo de juro no caminho. O que trava a maioria não é falta de dinheiro. É não saber como funciona.

Se quiser entender, comente SONHO abaixo. Eu te mando o material que explica tudo, do começo ao fim, de graça.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #comofunciona #grupo",,"https://multicon.vercel.app/carrosseis/DaKvMHuB7eD/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/DaKvMHuB7eD/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/DaKvMHuB7eD/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/DaKvMHuB7eD/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/DaKvMHuB7eD/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/DaKvMHuB7eD/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/DaKvMHuB7eD/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/DaKvMHuB7eD/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,Um time onde todos marcam,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-26 15:00:00,"Vontade é a parte fácil. Quase todo mundo sabe exatamente o que quer: trocar de carro, sair do aluguel, abrir o próprio negócio.

A lista é clara. O que costuma faltar é a data.

Um desejo sem prazo, sem valor e sem próximo passo não é um plano. É uma vontade recorrente, que volta toda vez que o assunto aparece na conversa.

Sonhamos com precisão, e nos organizamos no improviso.

Existe uma expressão para o que transforma um no outro: intenção de implementação. É o momento em que a vontade ganha quando, quanto e como.

Só esse detalhe já muda bastante a chance de a coisa acontecer.

O consórcio funciona como uma dessas implementações. Ele coloca valor, prazo e um passo mensal em cima de algo que antes existia só em pensamento.

A vontade continua a mesma. O que muda é que agora ela tem calendário.

Se os seus planos ainda estão na cabeça, isso não faz de você alguém que não realiza.

Faz de você alguém que ainda não colocou data — e data é a parte mais fácil de resolver.

Gostou? Fez sentido?

Então imagina começar hoje.

Comente SONHO abaixo.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #planejamento #objetivos",,"https://multicon.vercel.app/carrosseis/DaQ5ayjBYmx/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/DaQ5ayjBYmx/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/DaQ5ayjBYmx/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/DaQ5ayjBYmx/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/DaQ5ayjBYmx/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/DaQ5ayjBYmx/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/DaQ5ayjBYmx/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/DaQ5ayjBYmx/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,Sonho sem plano continua sonho,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-27 15:00:00,"A maioria de nós só procura solução quando já precisa do bem. O carro quebrou, o contrato de aluguel venceu, a família cresceu.

E é justamente aí que as opções ficam piores.

Com pressa, a gente aceita o juro que aparecer, o prazo que couber e o bem que estiver disponível. Não é falta de inteligência: é falta de tempo.

Decidimos as coisas maiores da vida nos dias em que temos menos margem para decidir.

Quem estuda negociação chama isso de poder de saída: a força de quem pode dizer não e ir embora. Sem alternativa, esse poder é zero.

E o preço de não ter alternativa nunca vem escrito no contrato.

Planejar antes da necessidade é comprar de volta esse poder. Quem chega com crédito organizado escolhe o imóvel, o momento e o valor.

O bem é o mesmo. A posição na mesa é outra.

Se você só resolveu correndo até hoje, foi assim para quase todo mundo.

A pressa não é defeito de caráter. É só o resultado de não ter começado antes — e começar continua disponível.

Gostou? Fez sentido?

Então imagina a chave na sua mão, sem um centavo de juro no caminho. O que trava a maioria não é falta de dinheiro. É não saber como funciona.

Se quiser entender, comente SONHO abaixo. Eu te mando o material que explica tudo, do começo ao fim, de graça.

MUDE a história de endividamento da sua família.

#consorcio #casapropria #planejamentofinanceiro #educacaofinanceira #consorcioimobiliario #sairdoaluguel #primeiroimovel #organizacaofinanceira #patrimonio #cartadecredito #multiplic #fortaleza #planejamento #negociacao",,"https://multicon.vercel.app/carrosseis/DaQZW47h9UO/sonho/slide-01.png, https://multicon.vercel.app/carrosseis/DaQZW47h9UO/conteudo/slide-02.png, https://multicon.vercel.app/carrosseis/DaQZW47h9UO/conteudo/slide-03.png, https://multicon.vercel.app/carrosseis/DaQZW47h9UO/conteudo/slide-04.png, https://multicon.vercel.app/carrosseis/DaQZW47h9UO/conteudo/slide-05.png, https://multicon.vercel.app/carrosseis/DaQZW47h9UO/conteudo/slide-06.png, https://multicon.vercel.app/carrosseis/DaQZW47h9UO/sonho/slide-07.png, https://multicon.vercel.app/carrosseis/DaQZW47h9UO/sonho/slide-08.png",,,,TRUE,FALSE,consorcio,Produção,"Comente SONHO aqui e eu te mando o material que explica tudo, de graça.",post,post,A urgência é sempre mais cara,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
